Date and Time:                Fri Apr 13 12:22:48.444 2018
Software Version:             4.30.30034.0
Temperature (C):              -30
Model:                        DH334T-18U-03
Data Type:                    Counts
Acquisition Mode:             Accumulate
Trigger Mode:                 Internal
Exposure Time (secs):         2
Accumulate Cycle Time (secs): 2
Frequency (Hz):               0.5
Number of Accumulations:      10
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Dynamic Range:       off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 6.5
Pixel Readout Rate (MHz):     0.05
637.64044	6350.92
637.86029	6349.53
638.08014	6372.7
638.29993	6407.44
638.51978	6421.45
638.73962	6404.99
638.95947	6382.73
639.17926	6376.76
639.39911	6390.59
639.61896	6419.05
639.83881	6447.47
640.05859	6461.88
640.27844	6465.29
640.49829	6469.65
640.71814	6481.76
640.93793	6495.88
641.15778	6495.24
641.37762	6478.96
641.59747	6472.23
641.81726	6486.36
642.03711	6501.36
642.25696	6500.96
642.47681	6493.64
642.69659	6490.24
642.91644	6487.9
643.13629	6495.39
643.35614	6517.03
643.57593	6523.91
643.79578	6504.22
644.01563	6483.45
644.23547	6476.07
644.45532	6479.38
644.67511	6486.04
644.89496	6482.2
645.11481	6464.26
645.33466	6447.28
645.55444	6444.17
645.77429	6448.92
645.99414	6448.08
646.21399	6440
646.43378	6433.4
646.65363	6431.38
646.87347	6427.38
647.09332	6417.61
647.31311	6405.81
647.53296	6395.26
647.75281	6383.29
647.97266	6363.95
648.19244	6340.13
648.41229	6327.26
648.63214	6333.08
648.85199	6342.73
649.07178	6343.45
649.29163	6344.69
649.51147	6353.96
649.73132	6362.19
649.95117	6359.31
650.17096	6350
650.39081	6350.15
650.61066	6364.42
650.83051	6378.69
651.05029	6386.04
651.27014	6398.94
651.48999	6420.4
651.70984	6431.13
651.92963	6424.1
652.14948	6415.24
652.36932	6416.26
652.58917	6423.62
652.80896	6429.56
653.02881	6441.7
653.24866	6465.86
653.46851	6487.92
653.68829	6499.6
653.90814	6514.82
654.12799	6544.18
654.34784	6591.23
654.56763	6671.01
654.78748	6799.5
655.00732	6983.06
655.22717	7264.68
655.44696	7901.23
655.66681	9778.31
655.88666	13925.3
656.10651	18667.8
656.32635	19557.7
656.54614	15654.6
656.76599	10960.9
656.98584	8309.64
657.20569	7329.57
657.42548	7000.69
657.64532	6864.69
657.86517	6780.04
658.08502	6694.04
658.30481	6590.41
658.52466	6485.15
658.74451	6410.3
658.96436	6374.6
659.18414	6359.67
659.40399	6346.54
659.62384	6334.74
659.84369	6333.64
660.06348	6339.34
660.28333	6337.26
660.50317	6320.35
660.72302	6298.29
660.94281	6289.35
